MarketName,street,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,has_website,Is market,Produce,Confectionary,Household,Dairy,Plants,Meat,Other,product_count,alt_pay_methods
 Caledonia Farmers Market Association - Danville,,Danville,Caledonia,Vermont,5828,-72.140335,44.411037,1,1,0,1,0,1,1,5.0,4.0,3.0,2.0,2.0,2.0,2.0,20.0,2
 Stearns Homestead Farmers' Market,6975 Ridge Road,Parma ,Cuyahoga,Ohio,,-81.73394,41.374802,1,0,0,1,0,1,1,3.0,4.0,2.0,1.0,1.0,1.0,0.0,12.0,1
10th Steet Community Farmers Market,10th Street and Poplar,Lamar ,Barton,Missouri,64759,-94.27462,37.495628,1,0,0,0,0,0,1,3.0,3.0,2.0,1.0,1.0,2.0,1.0,13.0,0
112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,-73.949303,40.7939,0,0,1,1,0,0,1,3.0,3.0,2.0,0.0,1.0,0.0,1.0,10.0,2
12 South Farmers Market,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,-86.79071,36.11837,1,0,0,0,1,1,1,4.0,5.0,2.0,2.0,1.0,2.0,2.0,18.0,1
125th Street Fresh Connect Farmers' Market,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.94825,40.808952000000005,1,1,0,1,1,1,1,4.0,5.0,2.0,2.0,1.0,2.0,3.0,19.0,3
12th & Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.534462,39.742119,0,0,0,0,1,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
14&U Farmers' Market,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,-77.032051,38.917,1,1,1,1,1,0,1,6.0,4.0,0.0,2.0,2.0,2.0,0.0,16.0,4
14th & Kennedy Street Farmers Market,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,-77.033447,38.955978,1,1,1,1,1,0,1,3.0,3.0,2.0,1.0,1.0,2.0,2.0,14.0,4
16th Ave Farmers Market,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,97212,-122.64943999999998,45.534496000000004,1,1,1,1,0,1,1,3.0,3.0,2.0,0.0,3.0,0.0,2.0,13.0,3
170 Farm Stand,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,10452,-73.916786,40.839886,1,0,1,1,1,0,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3
175th Street Greenmarket,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,-73.93804899999999,40.846354999999996,1,1,1,1,1,1,1,4.0,4.0,0.0,2.0,1.0,1.0,0.0,12.0,4
17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.259102,45.004397999999995,0,1,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
17th Street Farmers Market,100 North 17th St.,Richmond ,Richmond City,Virginia,23219,-77.428368,37.533852,1,0,0,0,1,1,1,4.0,3.0,1.0,2.0,0.0,3.0,1.0,14.0,1
18th and Christian Farmers' Market,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,-75.17343100000001,39.940945,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.66254,41.864269,1,0,0,0,0,0,1,4.0,2.0,1.0,2.0,2.0,2.0,2.0,15.0,0
