per capita income,median household income,median family income,population,number of households,state_nums
20760,38847,47103,80499,31342,1
18995,32900,41113,24342,9489,1
18979,29357,45518,25573,9631,1
21924,41650,54725,17308,7001,1
18888,36415,46536,31666,12437,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
19026,36028,42470,14396,6084,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
26906,45429,59095,658552,259634,1
22030,34907,45998,26034,11656,1
22072,35079,48116,20669,8464,1
26766,50221,60864,187114,73283,1
26906,45429,59095,658552,259634,1
26766,50221,60864,187114,73283,1
19108,38019,46069,14945,5601,1
15605,24658,31966,13104,4994,1
14156,22186,35594,13552,5060,1
21343,36275,48903,13955,5601,1
21434,39130,46839,41428,16373,1
21434,39130,46839,41428,16373,1
19830,35213,45076,22819,9013,1
19830,35213,45076,22819,9013,1
19715,33090,46574,32977,12959,1
23872,50786,57643,84521,31353,1
15749,29203,36807,22778,8333,1
19678,36143,42730,55544,21142,1
14930,24226,31809,8934,3264,1
19576,32888,41733,30615,12700,1
21572,39077,50924,54456,22260,1
19410,35439,43074,81845,31486,1
23764,44800,55536,119673,46192,1
23764,44800,55536,119673,46192,1
19291,32402,41040,34145,13722,1
24571,53682,66349,54907,20071,1
23856,54766,65479,79895,28324,1
13716,28209,32108,10390,3400,1
26766,50221,60864,187114,73283,1
18812,30051,38048,15594,5969,1
33313,68770,82558,198366,74144,1
33313,68770,82558,198366,74144,1
33313,68770,82558,198366,74144,1
18149,37851,45213,71076,24923,1
24975,44790,56684,228980,88844,1
25020,48619,57858,85264,31794,1
23316,40948,52214,102326,39250,1
23316,40948,52214,102326,39250,1
33313,68770,82558,198366,74144,1
23316,40948,52214,102326,39250,1
23380,43768,58898,50468,18820,1
23510,42844,55673,92666,38458,1
23506,43542,61629,144405,55864,1
23506,43542,61629,144405,55864,1
17153,28741,38728,19516,7926,1
17153,28741,38728,19516,7926,1
17427,36447,43004,22754,7091,1
17403,29918,38500,20624,8235,1
23380,43768,58898,50468,18820,1
26766,50221,60864,187114,73283,1
33313,68770,82558,198366,74144,1
22637,45408,58922,196824,67882,1
18694,34002,43598,13703,5649,1
18628,32033,44933,10746,3741,1
31933,58434,75766,339279,132975,1
31933,58434,75766,339279,132975,1
31933,58434,75766,339279,132975,1
31933,58434,75766,339279,132975,1
31933,58434,75766,339279,132975,1
31933,58434,75766,339279,132975,1
22685,44889,56132,50102,19345,1
31933,58434,75766,339279,132975,1
18494,33838,44034,17110,6956,1
18493,37277,46777,11198,4506,1
18368,26230,40783,11086,4212,1
22501,43028,52234,413188,155178,1
16826,30724,41233,20803,8107,1
16829,32911,43462,27321,9200,1
16829,32911,43462,27321,9200,1
22637,45408,58922,196824,67882,1
16540,30687,36550,38169,13681,1
13379,23642,26739,11531,3866,1
18979,29357,45518,25573,9631,1
17245,26519,38063,43091,16173,1
20181,38551,48486,34009,13382,1
20199,35625,43481,26791,10945,1
20204,38013,47259,104260,40217,1
20204,38013,47259,104260,40217,1
20323,33941,45876,13687,5518,1
20382,39526,48952,93699,34250,1
20391,35869,43822,37847,15041,1
20395,42156,50376,17284,6620,1
20486,37634,47380,53171,20765,1
20828,39962,50851,117714,45196,1
20828,39962,50851,117714,45196,1
20698,37566,46245,66622,25751,1
20701,41250,52092,43744,16232,1
20382,39526,48952,93699,34250,1
20730,44145,52996,57623,21108,1
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
25186,42987,53015,211968,91349,2
23608,45755,55120,131038,49174,2
23608,45755,55120,131038,49174,2
27256,53596,63910,3889161,1411727,2
23608,45755,55120,131038,49174,2
25269,45841,57757,986891,384041,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
27256,53596,63910,3889161,1411727,2
23382,49555,59308,134795,46198,2
25186,42987,53015,211968,91349,2
23382,49555,59308,134795,46198,2
20792,39954,48958,53335,20601,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25269,45841,57757,986891,384041,2
25186,42987,53015,211968,91349,2
16626,36927,43516,107326,34343,2
22200,35776,42729,20408,10221,2
25186,42987,53015,211968,91349,2
25186,42987,53015,211968,91349,2
27256,53596,63910,3889161,1411727,2
17168,44943,50583,37168,11031,2
25186,42987,53015,211968,91349,2
20792,39954,48958,53335,20601,2
20516,47992,48074,8679,3386,2
20910,50027,55282,379128,123733,2
17664,37745,41774,47122,15078,2
12709,31476,37095,71978,19055,2
20833,39200,47136,201680,80230,2
23382,49555,59308,134795,46198,2
27256,53596,63910,3889161,1411727,2
18840,41595,44302,199026,70122,2
16714,30861,40550,17203,7023,3
20637,36584,46669,27531,11019,3
23222,40471,50511,126536,49294,3
23222,40471,50511,126536,49294,3
23239,49004,58808,17922,6855,3
23264,41248,54190,207911,79214,3
23044,40246,49059,25856,10286,3
16714,30861,40550,17203,7023,3
16731,30779,39444,8101,3296,3
20637,36584,46669,27531,11019,3
18137,34855,43408,8573,3737,3
20636,41319,51790,43515,16950,3
20637,36584,46669,27531,11019,3
18754,35771,43373,15671,6048,3
20622,39420,47576,8648,3346,3
23170,39162,48388,96547,39881,3
23170,39162,48388,96547,39881,3
12529,25034,32986,10267,3491,3
18782,32517,42607,17147,7063,3
19116,32835,38275,20540,8069,3
19135,36766,43053,18063,6769,3
18377,32206,37440,11250,4325,3
23138,41393,52466,98398,37834,3
26715,54515,61706,227439,82150,3
15511,30873,34705,27914,9358,3
19046,34996,46489,22221,8233,3
23218,52582,60786,69266,25052,3
18509,31502,41121,15790,6814,3
19046,34996,46489,22221,8233,3
19021,31345,39469,9387,3873,3
21793,42487,51449,77767,29632,3
19087,28259,36902,7180,3070,3
15971,32239,42457,17227,6580,3
21334,35343,45499,41281,18155,3
18695,33694,42500,8948,3622,3
18975,32015,42354,25651,10733,3
17884,30038,37243,8211,3507,3
22160,38506,47585,37099,15086,3
17884,30038,37243,8211,3507,3
18701,38085,48100,17760,6818,3
18934,37448,42333,11111,4324,3
16538,26201,34451,11621,4510,3
20289,35026,44442,36786,14544,3
18905,36428,42286,45912,17058,3
15609,30284,38639,17809,6541,3
17057,31171,39884,18686,7496,3
20040,35225,46002,21235,8154,3
18707,35879,40970,13748,5208,3
18871,34418,45492,17896,7244,3
17960,32721,48735,22912,8341,3
22160,38506,47585,37099,15086,3
18040,30661,39717,13560,5682,3
25962,55348,66936,109844,41287,3
19880,39673,48406,12992,5315,3
19918,40453,47074,62248,22603,3
16830,26737,34684,21253,8339,3
24401,50314,65155,115928,42413,3
18188,34494,42333,16605,7036,3
26715,54515,61706,227439,82150,3
19665,37751,48372,50447,18309,3
19439,35128,47472,24512,9449,3
26715,54515,61706,227439,82150,3
16021,35153,44267,17137,5745,3
17403,29832,39665,12517,5135,3
24401,50314,65155,115928,42413,3
17403,29832,39665,12517,5135,3
19652,38413,48011,42580,16603,3
17376,32056,43407,22509,8296,3
16919,32089,39616,24403,9369,3
