County,State,per capita income,median household income,median family income,population,number of households,x,y,Has Market,state_nums
"AL, Cullman",Alabama,20760,38847,47103,80499,31342,-86.844284,34.179405,1.0,1
"AL, Winston",Alabama,18995,32900,41113,24342,9489,-87.608253,34.231731,1.0,1
"AL, Clarke",Alabama,18979,29357,45518,25573,9631,-87.776726,31.709833000000003,1.0,1
"AL, Henry",Alabama,21924,41650,54725,17308,7001,0.0,0.0,0.0,1
"AL, Franklin",Alabama,18888,36415,46536,31666,12437,-88.14364599999998,34.439522,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.95137,33.401131,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.990646,33.373081,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.724602,33.561501,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.81041,33.64745300000001,1.0,1
"AL, Lamar",Alabama,19026,36028,42470,14396,6084,0.0,0.0,0.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.836281,33.540569,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.808929,33.524521,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.791298,33.516224,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.803497,33.505699,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.790909,33.480175,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.730087,33.450035,1.0,1
"AL, Cherokee",Alabama,22030,34907,45998,26034,11656,-85.670174,34.156258,1.0,1
"AL, Marengo",Alabama,22072,35079,48116,20669,8464,0.0,0.0,0.0,1
"AL, Baldwin",Alabama,26766,50221,60864,187114,73283,-87.65585300000002,30.250746000000003,1.0,1
"AL, Jefferson",Alabama,26906,45429,59095,658552,259634,-86.54514300000002,33.545120000000004,1.0,1
"AL, Baldwin",Alabama,26766,50221,60864,187114,73283,-87.683304,30.407082,1.0,1
"AL, Cleburne",Alabama,19108,38019,46069,14945,5601,-85.596405,33.50293,1.0,1
"AL, Conecuh",Alabama,15605,24658,31966,13104,4994,-86.956703,31.433058000000006,1.0,1
"AL, Sumter",Alabama,14156,22186,35594,13552,5060,0.0,0.0,0.0,1
"AL, Crenshaw",Alabama,21343,36275,48903,13955,5601,0.0,0.0,0.0,1
"AL, Tallapoosa",Alabama,21434,39130,46839,41428,16373,-85.89469100000002,32.535992,1.0,1
"AL, Tallapoosa",Alabama,21434,39130,46839,41428,16373,-85.954697,32.944599,1.0,1
"AL, Randolph",Alabama,19830,35213,45076,22819,9013,-85.45188900000002,33.255363,1.0,1
"AL, Randolph",Alabama,19830,35213,45076,22819,9013,-85.573051,33.123402,1.0,1
"AL, Pike",Alabama,19715,33090,46574,32977,12959,-85.97138199999998,31.809191,1.0,1
"AL, St. Clair",Alabama,23872,50786,57643,84521,31353,-86.272743,33.575321,1.0,1
"AL, Monroe",Alabama,15749,29203,36807,22778,8333,0.0,0.0,0.0,1
"AL, Russell",Alabama,19678,36143,42730,55544,21142,0.0,0.0,0.0,1
"AL, Greene",Alabama,14930,24226,31809,8934,3264,0.0,0.0,0.0,1
"AL, Marion",Alabama,19576,32888,41733,30615,12700,-88.019577,34.156277,1.0,1
"AL, Colbert",Alabama,21572,39077,50924,54456,22260,-87.665604,34.760155,1.0,1
"AL, Talladega",Alabama,19410,35439,43074,81845,31486,-86.25183100000002,33.17363,1.0,1
"AL, Morgan",Alabama,23764,44800,55536,119673,46192,-86.986877,34.600891,1.0,1
"AL, Morgan",Alabama,23764,44800,55536,119673,46192,-87.001579,34.535561,1.0,1
"AL, Chambers",Alabama,19291,32402,41040,34145,13722,-85.169907,32.808208,1.0,1
"AL, Autauga",Alabama,24571,53682,66349,54907,20071,-86.452301,32.469299,1.0,1
"AL, Elmore",Alabama,23856,54766,65479,79895,28324,0.0,0.0,0.0,1
"AL, Perry",Alabama,13716,28209,32108,10390,3400,-87.301186,32.638329,1.0,1
"AL, Baldwin",Alabama,26766,50221,60864,187114,73283,-87.599083,30.41395,1.0,1
"AL, Hale",Alabama,18812,30051,38048,15594,5969,-87.579575,32.699165,1.0,1
"AL, Shelby",Alabama,33313,68770,82558,198366,74144,-86.630302,33.4077,1.0,1
"AL, Shelby",Alabama,33313,68770,82558,198366,74144,-86.862892,33.099545,1.0,1
"AL, Shelby",Alabama,33313,68770,82558,198366,74144,-86.76804399999997,33.096001,1.0,1
"AL, DeKalb",Alabama,18149,37851,45213,71076,24923,0.0,0.0,0.0,1
"AL, Montgomery",Alabama,24975,44790,56684,228980,88844,-86.164635,32.35981,1.0,1
"AL, Limestone",Alabama,25020,48619,57858,85264,31794,-86.97350300000002,34.801303999999995,1.0,1
"AL, Houston",Alabama,23316,40948,52214,102326,39250,-85.374931,31.194504,1.0,1
"AL, Houston",Alabama,23316,40948,52214,102326,39250,-85.390465,31.223593,1.0,1
"AL, Shelby",Alabama,33313,68770,82558,198366,74144,-86.808495,33.357254,1.0,1
"AL, Houston",Alabama,23316,40948,52214,102326,39250,-85.44994399999999,31.232252000000006,1.0,1
"AL, Coffee",Alabama,23380,43768,58898,50468,18820,-85.855049,31.313772,1.0,1
"AL, Lauderdale",Alabama,23510,42844,55673,92666,38458,-87.668747,34.801804,1.0,1
"AL, Lee",Alabama,23506,43542,61629,144405,55864,-85.475594,32.584812,1.0,1
"AL, Lee",Alabama,23506,43542,61629,144405,55864,-85.37355,32.641777000000005,1.0,1
"AL, Pickens",Alabama,17153,28741,38728,19516,7926,-88.093796,33.275535999999995,1.0,1
"AL, Pickens",Alabama,17153,28741,38728,19516,7926,-87.90280200000002,33.318501,1.0,1
"AL, Bibb",Alabama,17427,36447,43004,22754,7091,0.0,0.0,0.0,1
"AL, Butler",Alabama,17403,29918,38500,20624,8235,-86.61770600000001,31.83028,1.0,1
"AL, Coffee",Alabama,23380,43768,58898,50468,18820,-86.065697,31.414705,1.0,1
"AL, Baldwin",Alabama,26766,50221,60864,187114,73283,-87.901978,30.524435,1.0,1
"AL, Shelby",Alabama,33313,68770,82558,198366,74144,-86.73378000000002,33.383472,1.0,1
"AL, Tuscaloosa",Alabama,22637,45408,58922,196824,67882,-87.591042,33.219444,1.0,1
"AL, Clay",Alabama,18694,34002,43598,13703,5649,0.0,0.0,0.0,1
"AL, Bullock",Alabama,18628,32033,44933,10746,3741,0.0,0.0,0.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.526474,34.80109,1.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.575127,34.859085,1.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.47803499999998,34.659546,1.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.583229,34.73064,1.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.598946,34.743320000000004,1.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.741776,34.733955,1.0,1
"AL, Dale",Alabama,22685,44889,56132,50102,19345,-85.714653,31.307348,1.0,1
"AL, Madison",Alabama,31933,58434,75766,339279,132975,-86.56452900000002,34.647521999999995,1.0,1
"AL, Fayette",Alabama,18494,33838,44034,17110,6956,0.0,0.0,0.0,1
"AL, Coosa",Alabama,18493,37277,46777,11198,4506,0.0,0.0,0.0,1
"AL, Lowndes",Alabama,18368,26230,40783,11086,4212,0.0,0.0,0.0,1
"AL, Mobile",Alabama,22501,43028,52234,413188,155178,-88.0961,30.6609,1.0,1
"AL, Macon",Alabama,16826,30724,41233,20803,8107,-85.693443,32.425705,1.0,1
"AL, Barbour",Alabama,16829,32911,43462,27321,9200,-85.67405699999998,31.647051,1.0,1
"AL, Barbour",Alabama,16829,32911,43462,27321,9200,-85.619064,31.707815000000004,1.0,1
"AL, Tuscaloosa",Alabama,22637,45408,58922,196824,67882,-87.562836,33.21648,1.0,1
"AL, Escambia",Alabama,16540,30687,36550,38169,13681,0.0,0.0,0.0,1
"AL, Wilcox",Alabama,13379,23642,26739,11531,3866,0.0,0.0,0.0,1
"AL, Clarke",Alabama,18979,29357,45518,25573,9631,-87.89366899999997,31.526751,1.0,1
"AL, Dallas",Alabama,17245,26519,38063,43091,16173,-87.039345,32.404224,1.0,1
"AL, Lawrence",Alabama,20181,38551,48486,34009,13382,-87.285561,34.504967,1.0,1
"AL, Geneva",Alabama,20199,35625,43481,26791,10945,0.0,0.0,0.0,1
"AL, Etowah",Alabama,20204,38013,47259,104260,40217,-85.934715,33.957829,1.0,1
"AL, Etowah",Alabama,20204,38013,47259,104260,40217,-86.088585,34.021763,1.0,1
"AL, Choctaw",Alabama,20323,33941,45876,13687,5518,0.0,0.0,0.0,1
"AL, Marshall",Alabama,20382,39526,48952,93699,34250,-86.310738,34.36020300000001,1.0,1
"AL, Covington",Alabama,20391,35869,43822,37847,15041,0.0,0.0,0.0,1
"AL, Washington County",Alabama,20395,42156,50376,17284,6620,0.0,0.0,0.0,1
"AL, Jackson",Alabama,20486,37634,47380,53171,20765,0.0,0.0,0.0,1
"AL, Calhoun",Alabama,20828,39962,50851,117714,45196,-85.83116899999997,33.666702,1.0,1
"AL, Calhoun",Alabama,20828,39962,50851,117714,45196,-85.76035300000002,33.813511,1.0,1
"AL, Walker",Alabama,20698,37566,46245,66622,25751,-87.266541,33.867565,1.0,1
"AL, Chilton",Alabama,20701,41250,52092,43744,16232,0.0,0.0,0.0,1
"AL, Marshall",Alabama,20382,39526,48952,93699,34250,-86.206772,34.267097,1.0,1
"AL, Blount",Alabama,20730,44145,52996,57623,21108,-86.470238,33.944317,1.0,1
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.92509,33.491695,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.06792,33.376724,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.07314,33.456001,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.00665,33.597363,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.27373,33.634933000000004,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.94331,33.435928000000004,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.89255,33.582474,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.09615,33.448921,1.0,2
